cancer_type,model,accuracy,mean_prob,n_samples,n_valid
Peripheral Nervous System,qwen3-vl-235b-a22b,0.0,0.7148883374689825,403,403
Peripheral Nervous System,deepseek,0.0,0.7608870967741934,403,372
Peripheral Nervous System,deepseek-r1,3.4739454094292808,0.657196029776675,403,403
Peripheral Nervous System,claude-sonnet-37,0.49627791563275436,0.6488833746898263,403,403
Peripheral Nervous System,claude-sonnet-45,1.488833746898263,0.6242786069651741,403,403
Peripheral Nervous System,claude-opus-45,10.173697270471465,0.42330024813895784,403,403
Germ Cell Tumor,GDD-ENS,22.22222222222222,0.5597682926829268,369,369
Germ Cell Tumor,gpt-5,26.287262872628723,0.643929539295393,369,369
Germ Cell Tumor,gpt-4o,2.4725274725274726,0.6983791208791209,369,364
Germ Cell Tumor,o3-mini,10.840108401084011,0.80710027100271,369,369
Germ Cell Tumor,medgemma,0.27100271002710025,0.7899728997289973,369,369
Germ Cell Tumor,qwen3,4.5592705167173255,0.8931914893617021,369,329
Germ Cell Tumor,qwen3-vl-235b-a22b,4.878048780487805,0.7103252032520324,369,369
Germ Cell Tumor,deepseek,0.8928571428571428,0.7526785714285714,369,336
Germ Cell Tumor,deepseek-r1,6.233062330623306,0.6590785907859078,369,369
Germ Cell Tumor,claude-sonnet-37,8.672086720867208,0.6530352303523035,369,369
Germ Cell Tumor,claude-sonnet-45,1.084010840108401,0.6436512261580382,369,369
